label	bucket	rows	n_docs	fields	example_context
Reasoner's 2A agar	growth medium / component	4	3	chemical_utilization_object	...spectively. Furthermore, this strain grew well on [[Reasoner's 2A agar]] but not on nutrient broth agar or Luria-Bert
fastidious bacteria broth	growth medium / component	4	1	chemical_utilization_object	... soy agar with 5% sheep blood solid medium and in [[fastidious bacteria broth]]. Colonies on tryptic soy agar with 5%
Reasoner's 2A medium	growth medium / component	4	4	chemical_utilization_object	...f Korea. Growth of strain [[EMRT-3T]] was observed in [[Reasoner's 2A medium]] at 10-35 °C (optimum, 25-30 °C) and pH
brain heart infusion agar supplemented with 5% defibrinated sheep blood	growth medium / component	4	1	chemical_utilization_object	...700, Y2011T and Y2014 exhibited optimal growth on [[brain heart infusion agar supplemented with 5% defibrinated sheep
marine agar 2216	growth medium / component	4	2	chemical_utilization_object	...4T, SYSU T00242T and SYSU T00266T occurred on the [[marine agar 2216]] with pH 8.0 at 37 °C. In addition, the major f
5% sheep blood	growth medium / component	4	1	chemical_utilization_object	...e strains grew optimally on tryptic soy agar with [[5% sheep blood]] solid medium and in fastidious bacteria broth. C
B1T	strain designation	4	4	strains	A novel Gram-positive strain, [[B1T]], was isolated from uranium-contaminated soil. The...; ... on the 16S rRNA gene seq
R2A medium	growth medium / component	4	4	chemical_utilization_object	...rea. The novel bacterial strain grew optimally in [[R2A medium]] under the following conditions: 0 % (w/v) NaCl, p...
peptone	growth medium / component	4	4	chemical_utilization_object	...i.e. a mixture of 20 proteinogenic amino acids or [[peptone]]) and thioglycolate as reduced sulphur source. Str...
G39T	strain designation	3	3	strains	...cifica NZ-96T (99.3%), Qipengyuania profundimaris [[G39T]] (99.1%) and Qipengyuania citrea RE35F/1T (98.8%)....
LNNU 24178T	strain designation	3	3	strains	...nd showed a high similarity to Luteimonas suaedae [[LNNU 24178T]] (99.01%), Luteimonas endophytica RD2P54T (98.80%)..
NJ-26T	strain designation	3	3	strains	...grouped strain LB-N7T with Flavobacterium cheniae [[NJ-26T]], Flavobacterium odoriferum HXWNR29T, Flavobacteri...
<unspecified>	unspecified/placeholder	3	3	study_taxa	
soluble starch	chemical (not in CHEBI)	3	2	chemical_utilization_object	...rate utilization encompassed cellobiose, sucrose, [[soluble starch]], casein, glucose, xylan, ethanol, ribose, yeast 
WM1T	strain designation	3	3	strains	...SM 12857T) (98.72%), Lacrimispora saccharolyticum [[WM1T]] (98.29%) and Lacrimispora xylanolytica sy1 (98.22...
(unspecified)	unspecified/placeholder	3	3	chemical_utilization_object,study_taxa	
carotenoid-type pigments	chemical (not in CHEBI)	3	2	chemical_utilization_object	...timally in 2% NaCl). Strain [[SZ-1-7T]] could produce [[carotenoid-type pigments]]. Strain 4WD22T grew from 20 to 45 
serum	growth medium / component	3	1	chemical_utilization_object	...pneumonia-like organisms medium supplemented with [[serum]] and urea under aerobic and anaerobic atmospheric ...
NEAU-KD1T	strain designation	3	3	strains	...3T was most closely related to Mumia xiangluensis [[NEAU-KD1T]] (99.2%) and Mumia quercus NEAU-365T (98.9%). The ...
tartaric acid	chemical (not in CHEBI)	3	1	chemical_utilization_object	
human milk oligosaccharides	chemical (not in CHEBI)	3	1	chemical_utilization_object	...ilities for carbohydrate metabolism, particularly [[human milk oligosaccharides]] utilization. Thus, based on these f
SM1973T	strain designation	2	2	strains	... sequence similarity) and Spartinivicinus marinus [[SM1973T]] (98.0 % sequence similarity). The predominant cel...; .
actidione	chemical (not in CHEBI)	2	1	chemical_utilization_object	...owing the growth on streptomycin thallous acetate [[actidione]] medium was considered to result from a modificati...
CGMCC 1.18060T	strain designation	2	1	strains,study_taxa	"... Flintibacter porci sp. nov. (type strain P01025T=[[CGMCC 1.18060T]]=KCTC 25794T) are proposed.
"
7R016T	strain designation	2	2	strains	...bidurans KC 17012T and Streptomyces spinosisporus [[7R016T]]. Nearly 100% average nucleotide identity (ANI) an...
85T	strain designation	2	2	strains	...e similarity (97.7%) with Fulvimarina endophytica [[85T]], while strain MAC8T shared 97.9% sequence similar...
SOB77T	strain designation	2	2	strains	...titatis 21Sc5-5T (98.13%) and Nocardioides oceani [[SOB77T]] (98.13%), respectively. The genome sizes of strai...
DSM 24564T	strain designation	2	2	strains	... and 38.7% between D0M16T and Leisingera caerulea [[DSM 24564T]], respectively. The phylogenomic tree further conf...
3507LTT	strain designation	2	2	strains	...equence identity with Infirmifilum lucidum strain [[3507LTT]] in the class Thermoprotei. Phylogenetic analysis ...
blood agar	growth medium / component	2	2	chemical_utilization_object	...onvex and alpha-haemolytic. The bacterium grew on [[blood agar]] but not on Brain Heart Infusion (BHI) and Mueller...
[not specified]	unspecified/placeholder	2	2	study_taxa	
MCCC 1K07993T	strain designation	2	2	strains	"...s flavescens comb. nov. (type strain, KCTC 92502T=[[MCCC 1K07993T]]=SCSIO 75105T).
"
35/09T	strain designation	2	2	strains	...ost closely related to Tenacibaculum dicentrarchi [[35/09T]] (98.53%), 'Tenacibaculum pacificus' 18-2881-A (98...; ..
metal ions	chemical (not in CHEBI)	2	1	chemical_utilization_object	...problems and restoring environments polluted with [[metal ions]] and/or benzoate. On the basis of the results of m...
[Not specified]	unspecified/placeholder	2	2	study_taxa	
A06T	strain designation	2	2	strains	...ighest sequence similarity to Gaoshiqia sediminis [[A06T]] (95.0%), followed by Mangrovibacterium diazotroph...; ...)
C31T	strain designation	2	2	strains	...-shaped, non-motile, yellowish and glossy strain, [[C31T]], was isolated from a wetland plant Polygonum lapa...; ... 
C3-2-a3T	strain designation	2	2	strains	...m-stain-negative bacterial strains, designated as [[C3-2-a3T]], B3-2-R+30, C3-2-a4, C3-2-M3 and C3-2-M8, were is...; 
KCTC 25800T	strain designation	2	2	strains	...la urininfantis KCTC 25755T and Olsenella absiana [[KCTC 25800T]] with 96.6-96.7% similarities. The multi-locus seq..
CGMCC 1.18055T	strain designation	2	1	strains,study_taxa	...lavonifractor porci sp. nov. (type strain P01024T=[[CGMCC 1.18055T]]=KCTC 25793T) and Flintibacter porci sp. nov. (ty
28AT	strain designation	2	2	strains	...igmented bacterial strains, designated 7AT, 14AT, [[28AT]] and 7E, were isolated from air samples collected ...; ...F
NZ-96T	strain designation	2	2	strains	...ia aerophila GH25T (99.3%), Qipengyuania pacifica [[NZ-96T]] (99.3%), Qipengyuania profundimaris G39T (99.1%) ...; ..
methyl-α-d-glucopyranoside	chemical (not in CHEBI)	2	1	chemical_utilization_object	...urease, β-glucosidase, assimilation of inulin and [[methyl-α-d-glucopyranoside]] and degradation of casein. Compared 
fish gut fluid	chemical (not in CHEBI)	2	2	chemical_utilization_object	...[[BP47G]] grew on agar medium containing mannitol and [[fish gut fluid]] as the sole carbon sources. Clear colonies o
SCSIO 75105T	strain designation	2	2	strains	...ris G39T (100%) and Alteriqipengyuania flavescens [[SCSIO 75105T]] (100%), respectively. However, a phylogenetic tre.
multiple antibiotics	chemical (not in CHEBI)	2	1	chemical_utilization_object	... and ZM25. Strains ZM22T and [[Y6]] were resistant to [[multiple antibiotics]], whereas strains ZM23T, ZM24 and ZM25 
human milk oligosaccharide	chemical (not in CHEBI)	2	1	chemical_utilization_object	...latum subsp. puerorum harboured genes involved in [[human milk oligosaccharide]] (HMO) and urea metabolism, consisten
dl-lactic acid	chemical (not in CHEBI)	2	2	chemical_utilization_object	...strain exhibited heterofermentative production of [[dl-lactic acid]] from glucose. Optimal growth was observed at 25-
mono- and oligosaccharides	chemical (not in CHEBI)	2	1	chemical_utilization_object	...y on a wide range of organic substrates including [[mono- and oligosaccharides]], amino acids and short-chained fatty
DSM 44815T	strain designation	2	2	strains	...ridization (dDDH) with Micromonospora auratinigra [[DSM 44815T]], while CPCC 205547T shared 85.7% of ANI and 32.0%...
SJ-92T	strain designation	2	2	strains	...hytica RD2P54T (98.80%) and Luteimonas salinisoli [[SJ-92T]] (97.67%). The average nucleotide identity (ANI) a...; ..
de Man-Rogosa-Sharpe agar	growth medium / component	2	1	chemical_utilization_object	...ere obtained after culturing a strawberry leaf on [[de Man-Rogosa-Sharpe agar]]. Based on 16S rRNA gene and rpoA gene
MCCC 1K00261T	strain designation	2	2	strains	...39T (93.6 %), followed by Wenzhouxiangella marina [[MCCC 1K00261T]] (92.0 %). Based on genome comparisons between str
TH16-21T	strain designation	2	2	strains	...odoriferum HXWNR29T, Flavobacterium lacisediminis [[TH16-21T]] and Flavobacterium celericrescens TWA-26T. The ca...
d,l-lactate	chemical (not in CHEBI)	2	1	chemical_utilization_object	...to lyse gelatin and sheep blood and to assimilate [[d,l-lactate]], along with their inability to acidify d-glucose ..
coral mucus	chemical (not in CHEBI)	2	1	chemical_utilization_object	... analysis indicated these two strains may utilize [[coral mucus]] or chitin. Based on above characteristics, these ..
ISO32T	strain designation	2	2	strains	...5-1%T (95.75%) and Hydrogenimonas cancrithermarum [[ISO32T]] (95.24%). According to the taxonomic and physiolo...
catalase activity	enzyme / assay	2	1	chemical_utilization_object	... bacterial isolates showed positive reactions for [[catalase activity]], Tween 80 hydrolysis and tellurite reduction.
natural rubber	chemical (not in CHEBI)	2	1	chemical_utilization_object	...1T, were isolated using mineral salts medium with [[natural rubber]] as the sole carbon source. Polyphasic taxonomy p
amoxicillin-clavulanic acid	chemical (not in CHEBI)	2	1	chemical_utilization_object	...dicated that [[CDC186T]] and CDC192 were resistant to [[amoxicillin-clavulanic acid]] and tigecycline. On the basis o
P16T	strain designation	2	2	strains	...-motile, rod-shaped bacterial strains (P13T, P18, [[P16T]], P17, P20T and P15) were isolated from the intest...; ...v
QS115T	strain designation	2	2	strains	...a marina W43T and Parasedimentitalea psychrophila [[QS115T]] respectively. Phylogenetic analysis based on 16S ...; ..
YIM 65594T	strain designation	2	2	strains	... with close relation to Streptomyces endophyticus [[YIM 65594T]] and Streptomyces fractus MV32T. Through genetic a...
N-acetyl-glucosamine	chemical (not in CHEBI)	2	1	chemical_utilization_object	...itrate and utilized various carbohydrates but not [[N-acetyl-glucosamine]]; they differed in sorbitol assimilation. T
F2T	strain designation	2	2	strains	...pore-forming, motile bacteria, designated strains [[F2T]] and PGU16, were isolated from the midgut crypts o...; ...ca
CJ25T	strain designation	2	2	strains	... of sequence similarity), Paenibacillus aestuarii [[CJ25T]] (97.12 %) and Paenibacillus allorhizoplanae JJ-42...
CJ29T	strain designation	2	2	strains	...iastensis GH41-7T (99.0 %), Lysobacter panacisoli [[CJ29T]] (98.9 %), and Lysobacter prati SYSU H10001T (98.2...
CL-33T	strain designation	2	2	strains	...nosclerae CBAS 572T and Endozoicomonas montiporae [[CL-33T]]. The average amino acid identity values were belo...
F753-1T	strain designation	2	2	strains	...on with B. choladohabitans B14384H11T and B. apis [[F753-1T]]. However, the highest digital DNA-DNA hybridizati...; .
Rhizobium leguminosarum complex	taxon (not in NCBITaxon)	2	2	study_taxa	...rrs sequences placed all three strains within the [[Rhizobium leguminosarum complex]]. Further phylogeny, based on 1 
Reasoner's 2A	chemical (not in CHEBI)	2	1	chemical_utilization_object	... and ASV81T grew optimally at pH 7.0 and 28 °C on [[Reasoner's 2A]]. Strain ASV81T produced capsules, but [[ASV49T]] 
Ra1766G1T	strain designation	2	2	strains	... AN17-1T and AN17-2T with Vallitalea guaymasensis [[Ra1766G1T]], respectively. The genome sizes and G+C contents ...;
KCTC 92110T	strain designation	2	2	strains	...nicus JCM 19537T (97.40%) and Leisingera thetidis [[KCTC 92110T]] (97.04%). Phylogenomic analysis showed that the s..
MMM721T	strain designation	2	2	strains	...er, and was closely related to Turicibacter bilis [[MMM721T]] (97.6 %) and Turicibacter sanguinis MOL361T (97.4...; .
KCTC 92502T	strain designation	2	2	strains	"...doblastomonas flavescens comb. nov. (type strain, [[KCTC 92502T]]=MCCC 1K07993T=SCSIO 75105T).
"
UCT-28T	strain designation	2	2	strains	...ne similarity (97.7%) with Novosphingobium flavum [[UCT-28T]]. In addition, PS1R-30T showed 97.9% 16S rRNA gene...
R-7T	strain designation	2	2	strains	...and strictly aerobic bacterial strain, designated [[R-7T]], was isolated from river sediment in Wuxi, Jiangs...; ...a
Mesorhizobium terrae	taxon (not in NCBITaxon)	2	2	study_taxa	...nalysis, positioned strain IRAMC:0171T closest to [[Mesorhizobium terrae]] KCTC 72278T and 'Mesorhizobium hungaricum'
W43T	strain designation	2	2	strains	...glinia marina DSW4-44T, Parasedimentitalea marina [[W43T]] and Parasedimentitalea psychrophila QS115T respec...; ...u
KCTC 92639T	strain designation	2	2	strains	...n CH-27T was most related to Marinihelvus fidelis [[KCTC 92639T]] (93.6 %), followed by Wenzhouxiangella marina MCC..
FWC 38T	strain designation	2	2	strains	... 410T (1,402/1,440, 97.4%), Caulobacter mirabilis [[FWC 38T]] (1,398/1,435, 97.4%) and 'Caulobacter endophyticu...
W8117T	strain designation	2	2	strains	...ia W8102T and Bifidobacterium polysaccharolyticum [[W8117T]], having 98.9-99.4% 16S rRNA gene sequence similar...; ..
KL28T	strain designation	2	2	strains	... a novel species, with Pseudomonas alkylphenolica [[KL28T]] as the closest type species by overall genome rel...
R9SW1T	strain designation	2	2	strains	...ts closely related strains (Marinobacter salarius [[R9SW1T]], Marinobacter similis A3d10T, 'Marinobacter areno...
Alt4	strain designation	2	1	strains,study_taxa	...rial strains, Mut1T, Mut2, Alt1, Alt2, Alt3T, and [[Alt4]], were isolated from soil samples collected in par...; ... 
KEMB 20189T	strain designation	2	2	strains	"...proposed. The type strain is MJW-29T (=KCTC 8634T=[[KEMB 20189T]]=JCM 37145T).
"
RD004123T	strain designation	2	2	strains	...K07-0523T (97.7 %), and Phytohabitans aurantiacus [[RD004123T]] (97.7 %). Phylogenetic analysis of 16S rRNA gene ...
RD2P54T	strain designation	2	2	strains	...edae LNNU 24178T (99.01%), Luteimonas endophytica [[RD2P54T]] (98.80%) and Luteimonas salinisoli SJ-92T (97.67%...; .
DHG64T	strain designation	2	2	strains	...nd 98.3 % with the same species Trinickia mobilis [[DHG64T]], respectively, and 98.4 % between themselves. In ...; ..
BMG 804T	strain designation	2	2	strains	...jejuensis KST3-10T(97.9%), Blastococcus capsensis [[BMG 804T]](97.8%), Blastococcus aggregatus DSM 4725T(97.5%),...; 
JDTF-79T	strain designation	2	2	strains	... 18-2881-A (98.46%), Tenacibaculum aestuariivivum [[JDTF-79T]] (98.46%), Tenacibaculum finnmarkense TNO010 (97.8...
PJ-16T	strain designation	2	2	strains	...alarius R9SW1T (98.5 %), Marinobacter panjinensis [[PJ-16T]] (98.4 %), Marinobacter orientalis W62T (98.0 %) a...
DV1184T	strain designation	2	2	strains	...s SC562T (=DSM 15285T), Tepidibacter formicigenes [[DV1184T]] (=DSM 15518T), Tepidibacter mesophilus B1T (=JCM ...
JCM 4913T	strain designation	2	2	strains	...thii CRXT-Y-14T (98.9%), Streptomyces davaonensis [[JCM 4913T]] (98.9%) and Streptomyces atriruber NRRL B-24165T ...
p-hydroxy-phenylacetic acid	chemical (not in CHEBI)	2	1	chemical_utilization_object	...l-d-glucosamine, maltose, adipate, phenylacetate, [[p-hydroxy-phenylacetic acid]], Tween 40, glycyl-l-proline, d-malt
SC562T	strain designation	2	2	strains	...er provide evidence that Tepidibacter thalassicus [[SC562T]] (=DSM 15285T), Tepidibacter formicigenes DV1184T ...
P4T	strain designation	2	2	strains	A bacterial strain, designated as [[P4T]], was isolated from an oil-contaminated soil sampl...; ...d on 16S rRNA gene se
P50T	strain designation	2	2	strains	...gene sequence similarity to Pseudomonas piscicola [[P50T]] and Pseudomonas paracarnis V5/DAB/2/5T, respectiv...
P7T	strain designation	2	2	strains	...to the genus Pelomonas as Pelomonas caseinilytica [[P7T]] (=KACC 22504T=TBRC 15694T) and Pelomonas cellulos...
JCM 11811T	strain designation	2	2	strains	...e sequence similarity to Flagellimonas marinaquae [[JCM 11811T]] (98.83 %), followed by Flagellimonas aurea BC31-1...
NBRC 113441T	strain designation	2	2	strains	...gh similarity (>99%) to Micromonospora solifontis [[NBRC 113441T]] and Micromonospora veneta DSM 109713T. Chemotaxon.
Bin7NT	strain designation	2	2	strains	...cterium and most closely related to the B. mellis [[Bin7NT]] (98.5% identity). Comparative sequence analysis o...
S6413T	strain designation	2	2	strains	...ca sw153T (95.2 %) and Marinicella gelatinilytica [[S6413T]] (94.9 %). Phylogenetic analyses indicated that st...
Bifidobacterium asteroides group	taxon (not in NCBITaxon)	2	2	study_taxa	...that strains F806-1T and F814-1.1 belonged to the [[Bifidobacterium asteroides group]] and were most closely related 
Yamadazyma koratensis	taxon (not in NCBITaxon)	2	2	study_taxa	...re: PYCC 9797). The MycoBank number is MB 849637. [[Yamadazyma koratensis]] f.a., sp. nov. is proposed for the second
KCTC 82561T	strain designation	2	2	strains	...aquatica ATCC 11330T (97.9%), Comamonas resistens [[KCTC 82561T]] (97.9%), Comamonas fluminis CJ34T (97.7%) and Com..
PMB02T	strain designation	2	2	strains	...he highest similarity to Methylobacterium platani [[PMB02T]] (98.9%). Genomic G+C content was 69.6 mol%, and p...
PMCC 200367T	strain designation	2	2	strains	...ns in close relation to Pseudomonas svalbardensis [[PMCC 200367T]] and Pseudomonas frederiksbergensis LMG 19851T. Av.
NBRC 103064T	strain designation	2	2	strains	...ccumfaciens JCM 9670T and Curtobacterium herbarum [[NBRC 103064T]]. The genome-derived average nucleotide identity b.
Tryptone soya agar (TSA)	growth medium / component	2	1	chemical_utilization_object	... two strains grew best at 28 °C on the plate with [[Tryptone soya agar (TSA)]]. Cells formed circular, convex, transl
PPF5-17T	strain designation	2	2	strains	...e DSM 45142T (99.23 %), Micromonospora solifontis [[PPF5-17T]] (99.16 %) and Micromonospora endolithica DSM 4439...; 
AR24T	strain designation	2	2	strains	...equence similarity to Methylobacterium isbiliense [[AR24T]] (98.5%), and dDDH and ANI values were 27.2% and 8...
S13-6-22T	strain designation	2	2	strains	...gene similarity (99.2%) with Lacibacter sediminis [[S13-6-22T]]. In addition, H407T also shows (98.3%) 16S rRNA g...;
BS-1T	strain designation	2	2	strains	...and 96.48% to Caproiciproducens galactitolivorans [[BS-1T]], respectively. The orthologous average nucleotide...
BR7-21T	strain designation	2	2	strains	...ed that the closest type strain was Baekduia soli [[BR7-21T]] with an average nucleotide identity of 78 %, aver...
S1101T	strain designation	2	2	strains	...icella sediminis F2T (98.0 %), Marinicella marina [[S1101T]] (97.5 %), Marinicella litoralis KMM 3900T (96.6 %...
CHU3T	strain designation	2	2	strains	...philus DSM 654T (98.1 %), Roseateles oligotrophus [[CHU3T]] (98.7 %), and Roseateles puraquae CCUG 52769T (98...
N5T	strain designation	2	2	strains	... (98.5%), followed by Microbacterium amylolyticum [[N5T]] (98.2%), Microbacterium gubbeenense DSM 15944T (9...
SC8A-24T	strain designation	2	2	strains	...s salarius CL-Z59T (99.2 %), Nocardioides deserti [[SC8A-24T]] (99.2 %) and Nocardioides marmotae zg-579T (98.5 ...
WL0086T	strain designation	2	2	strains	...est sequence similarities with Actomonas aquatica [[WL0086T]] of 97.6-98.4%, followed by Synoicihabitans lomoni...; .
KCTC 25794T	strain designation	2	1	strains,study_taxa	"...orci sp. nov. (type strain P01025T=CGMCC 1.18060T=[[KCTC 25794T]]) are proposed.
"
SaT	strain designation	2	2	strains	...rRNA gene sequence similarities with Dyella lutea [[SaT]] (98.0%), followed by Dyella thiooxydans ATSB10T (...; ...us
poly(ε-caprolactone)	chemical (not in CHEBI)	2	1	chemical_utilization_object	...s, poly(butylene succinate-co-adipate) (PBSA) and [[poly(ε-caprolactone)]]. Phylogenetic analyses based on the 16S rR
M1T	strain designation	2	2	strains	... cultured relatives Desulfosporosinus acididurans [[M1T]] and Desulfosporosinus acidiphilus SJ4T. On the ba...
M0-14T	strain designation	2	2	strains	...observed with Pengzhenrongella phosphoraccumulans [[M0-14T]] (98.3 %) and Pengzhenrongella sicca LRZ-2T (98.2 ...; ..
LMO-2T	strain designation	2	2	strains	...nogen Methanococcoides cohabitans sp. nov. strain [[LMO-2T]] from a long-term AOM enrichment culture from the ...; ..
1-aminocyclopropane-1-carboxylic acid deaminase	enzyme / assay	2	1	chemical_utilization_object	... of producing indole acetic acid, siderophore and [[1-aminocyclopropane-1-carboxylic acid deaminase]], and also showe
NRRL B-2218T	strain designation	2	2	strains	...was closely related to Kitasatospora aburaviensis [[NRRL B-2218T]] (99.51%). Comparisons based on genome sequencing .
NE40T	strain designation	2	2	strains	...t relatives, including Endozoicomonas lisbonensis [[NE40T]], Endozoicomonas arenosclerae CBAS 572T and Endozo...
LRZ-2T	strain designation	2	2	strains	...mulans M0-14T (98.3 %) and Pengzhenrongella sicca [[LRZ-2T]] (98.2 %). The average nucleotide identity and dig...; ..
NCTC 12261T	strain designation	2	2	strains	...us mitis subsp. mitis subsp. nov. (type strain is [[NCTC 12261T]]) and Sreptococcus mitis subsp. carlssonii subsp. ..
sheep blood	growth medium / component	2	1	chemical_utilization_object	...cter species by their ability to lyse gelatin and [[sheep blood]] and to assimilate d,l-lactate, along with their i..
short-chained fatty acids	chemical (not in CHEBI)	2	1	chemical_utilization_object	...uding mono- and oligosaccharides, amino acids and [[short-chained fatty acids]]. MK-8 was identified as the major res
NEAU-365T	strain designation	2	2	strains	... xiangluensis NEAU-KD1T (99.2%) and Mumia quercus [[NEAU-365T]] (98.9%). The average nucleotide identity and digi...
poly(butylene succinate-co-adipate) (PBSA)	chemical (not in CHEBI)	2	1	chemical_utilization_object	...ed the ability to degrade biodegradable plastics, [[poly(butylene succinate-co-adipate) (PBSA)]] and poly(ε-caprolact
1APP75-27aT	strain designation	2	2	strains	...a halophila BH195T and Pseudidiomarina terrestris [[1APP75-27aT]], respectively. While strain B22-R8T showed the hi..
soluble phosphorus	chemical (not in CHEBI)	2	1	chemical_utilization_object	...s and produce siderophores, for which the maximum [[soluble phosphorus]] concentrations could reach 510.03±7.11 and 5
strain_of	strain designation	2	2	strains	
sugars	chemical (not in CHEBI)	2	2	chemical_utilization_object	...3 mol%. The isolate did not grow using any tested [[sugars]] but grew well on arginine and glycine. It is capa...
HST1-43T	strain designation	2	2	strains	... highest sequence similarity with Tamlana crocina [[HST1-43T]] of 94.5%. The genome size was 3.77 Mbp with a gen...; 
H38T	strain designation	2	2	strains	...lla soli DKR-2T (98.0 %), and Kaistella haifensis [[H38T]] (97.4 %). A comprehensive genome-level comparison...; ... 
zg-579T	strain designation	2	2	strains	...serti SC8A-24T (99.2 %) and Nocardioides marmotae [[zg-579T]] (98.5 %), respectively. All three strains had MK-...
NH57NT	strain designation	2	2	strains	...arina JLT21T (95.2 %), Meridianimaribacter flavus [[NH57NT]] (95.1 %), and Geojedonia litorea YCS-16T (95.1 %)...
various carbohydrates	chemical (not in CHEBI)	2	1	chemical_utilization_object	...nd oxidase-positive, reduced nitrate and utilized [[various carbohydrates]] but not N-acetyl-glucosamine; they differ
HXWNR29T	strain designation	2	2	strains	...cterium cheniae NJ-26T, Flavobacterium odoriferum [[HXWNR29T]], Flavobacterium lacisediminis TH16-21T and Flavob...
KCTC 25793T	strain designation	2	1	strains,study_taxa	...orci sp. nov. (type strain P01024T=CGMCC 1.18055T=[[KCTC 25793T]]) and Flintibacter porci sp. nov. (type strain P01..
HLW78T	strain designation	2	2	strains	...) value of 74.3% with Faecalibacterium taiwanense [[HLW78T]], indicating that CNCM I-4540 should be classified...
T16R-86T	strain designation	2	2	strains	... highest similarity to Chitinophaga rhizosphaerae [[T16R-86T]], with a 98.6 % 16S rRNA gene sequence similarity,...
β-glucuronidase	enzyme / assay	2	2	chemical_utilization_object	... and trehalose, as well as negative reactions for [[β-glucuronidase]], mannose, inositol and glycerol. Genotypic and 
β-glucosidase	enzyme / assay	2	1	chemical_utilization_object	... with respect to their ability to produce urease, [[β-glucosidase]], assimilation of inulin and methyl-α-d-glucopyran
KCTC 25755T	strain designation	2	2	strains	...a phocaeensis DSM 103159T, Olsenella urininfantis [[KCTC 25755T]] and Olsenella absiana KCTC 25800T with 96.6-96.7%..
DSM 12784T	strain designation	2	2	strains	...gens DSM 12807T (97.69%) and Deinococcus marmoris [[DSM 12784T]] (97.06%). The overall genome-related indices reve...
(not specified)	unspecified/placeholder	2	2	study_taxa	
phosphatidylethanolamine (PE)	chemical (not in CHEBI)	2	1	chemical_utilization_object	... major polar lipid identified in strain [[MSW6T]] was [[phosphatidylethanolamine (PE)]]. On the other hand, strain RS
α-hydroxy butyric acid	chemical (not in CHEBI)	2	1	chemical_utilization_object	...-l-proline, d-maltose, d-galactonic acid lactone, [[α-hydroxy butyric acid]], myo-inositol, sucrose, l-histidine, d-m
MS34ᵀ	strain designation	1	1	strains	...novel actinomycetes, designated strains MS10ᵀ and [[MS34ᵀ]], were isolated from marine sediment collected at ...; ...
MCCC M29024T	strain designation	1	1	strains	".... nov. is proposed, with the type strain ZH257T (=[[MCCC M29024T]]=KACC 23147T).
"
MCCC M28999T	strain designation	1	1	strains	...sp. nov. is proposed. The type strain is CMA-7T (=[[MCCC M28999T]] = KCTC 92588T). Moreover, the transfer of Joostel.
MCCC M28986T	strain designation	1	1	strains	"...rains D6T (=MCCC M28982T=KCTC 92604T) and DH64T (=[[MCCC M28986T]]=KCTC 92975T).
"
MCCC M28982T	strain designation	1	1	strains	...ea sp. nov. are proposed, with type strains D6T (=[[MCCC M28982T]]=KCTC 92604T) and DH64T (=MCCC M28986T=KCTC 92975T.
M6879	strain designation	1	1	strains	...with seal finger (M5725T, M6447, M6620, M6642 and [[M6879]]) or septic arthritis (M6921). Prior to the onset ...; ...
MCCC M28628T	strain designation	1	1	strains	"... proposed. The type strain is 813A4T (=JCM 39367T=[[MCCC M28628T]]).
"
